RSI_저점,RSI_고점,과매도_목표,과열_목표,학습_CAGR,학습_MDD,검증_CAGR,검증_MDD,전체_CAGR,전체_MDD,안정점수
25,75,0.04,0.027,35.33144603754039,-40.393570368553064,40.047367434328066,-39.84712528063415,37.160842828058264,-40.393570368553064,19.543123919671128
30,75,0.032,0.023,35.26458246670586,-40.37641602472639,39.845826186607525,-39.907381940131984,37.06237332094645,-40.37641602472639,19.529401556086043
30,75,0.032,0.02,35.12562263501209,-40.38025497761208,39.52113982749384,-39.89483116306256,36.84032783530998,-40.38025497761208,19.454102375479252
25,75,0.035,0.023,35.18990160072036,-40.39533340388738,39.787057570551156,-39.88290383331279,36.9854371348857,-40.39533340388738,19.442530319919
25,75,0.032,0.023,35.18897993352729,-40.393504612813146,39.787057570551156,-39.88290383331279,36.9854610455493,-40.393504612813146,19.44192614608434
25,75,0.04,0.023,35.18693491892023,-40.39748862652045,39.787057570551156,-39.88290383331279,36.983241231203266,-40.39748862652045,19.437770971567247
25,75,0.045,0.025,35.14182349766932,-40.3996923924946,39.77103417980169,-39.88993122858241,36.95066433072856,-40.3996923924946,19.381707421549883
25,75,0.032,0.02,35.05270225094199,-40.39523206579509,39.43340951278523,-39.88118134483971,36.76524301946242,-40.39523206579509,19.381123486268574
25,75,0.035,0.02,35.05107808358039,-40.39871250495109,39.43340951278523,-39.88118134483971,36.76256288185479,-40.39871250495109,19.377712706625818
25,75,0.04,0.02,35.04857078718405,-40.40192169197048,39.43340951278523,-39.88118134483971,36.76139497440067,-40.40192169197048,19.373204641033965
25,65,0.045,0.027,35.145563326498575,-40.397333242108346,40.047367434328066,-39.84712528063415,37.03846141386853,-40.397333242108346,19.290865254020332
25,75,0.045,0.027,35.145563326498575,-40.397333242108346,40.047367434328066,-39.84712528063415,37.03846141386853,-40.397333242108346,19.290865254020332
25,70,0.045,0.027,35.145563326498575,-40.397333242108346,40.047367434328066,-39.84712528063415,37.03846141386853,-40.397333242108346,19.290865254020332
25,75,0.045,0.023,35.001784505954646,-40.39493952016483,39.787057570551156,-39.88290383331279,36.863001616150456,-40.39493952016483,19.188710101288176
25,75,0.045,0.02,34.865229274375366,-40.399835434344524,39.43340951278523,-39.88118134483971,36.64313386952509,-40.399835434344524,19.12642378891133
35,65,0.04,0.023,35.2824210285749,-40.940334301417366,41.48921896795488,-39.90852052905329,37.622486186988624,-40.940334301417366,18.78092474429583
35,70,0.045,0.023,34.75945095221897,-39.89068703823685,40.598120034543825,-39.89007220914302,36.95908370006248,-39.97674413194138,18.754176310022373
35,65,0.045,0.025,34.700455705648324,-39.901367883193494,40.379690419301994,-39.87437657356644,36.86059789841667,-39.976557448155134,18.747244796751815
35,65,0.04,0.02,34.86032000145681,-40.9457608272663,40.08146329190612,-39.832571553487014,36.8118832763098,-40.9457608272663,18.70190356025635
