name,mode,ladder,fee,buy_range,train_cagr,train_mdd,valid_cagr,valid_mdd,full_cagr,full_mdd,score
공격형,any_loss,2,0.001,0.1,37.06531706214542,-46.4840025825847,45.12880996755872,-45.494927983696,40.047116431039996,-46.4840025825847,17.973693641346117
공격형,any_loss,2,0.001,0.05,37.06531706214542,-46.4840025825847,45.12880996755872,-45.494927983696,40.047116431039996,-46.4840025825847,17.973693641346117
공격형,all_loss,2,0.001,0.15,37.06531706214542,-46.4840025825847,45.12880996755872,-45.494927983696,40.047116431039996,-46.4840025825847,17.973693641346117
공격형,all_loss,2,0.001,0.1,37.06531706214542,-46.4840025825847,45.12880996755872,-45.494927983696,40.047116431039996,-46.4840025825847,17.973693641346117
안정형,never,3,0.001,0.15,32.868333691419,-37.57218871582341,37.82499344837342,-37.836296657723615,34.75984369071268,-38.00391800420636,17.890798946281684
안정형,never,3,0.001,0.1,32.868333691419,-37.57218871582341,37.82499344837342,-37.836296657723615,34.75984369071268,-38.00391800420636,17.890798946281684
안정형,never,3,0.001,0.05,32.868333691419,-37.57218871582341,37.82499344837342,-37.836296657723615,34.75984369071268,-38.00391800420636,17.890798946281684
공격형,any_loss,0,0.001,0.1,36.47935838153138,-46.31621308858479,43.666818420286766,-43.705526846479636,39.1444064718357,-46.31621308858479,17.753072786962317
공격형,any_loss,0,0.001,0.05,36.47935838153138,-46.31621308858479,43.666818420286766,-43.705526846479636,39.1444064718357,-46.31621308858479,17.753072786962317
공격형,all_loss,0,0.001,0.15,36.47935838153138,-46.31621308858479,43.666818420286766,-43.705526846479636,39.1444064718357,-46.31621308858479,17.753072786962317
공격형,all_loss,0,0.001,0.1,36.47935838153138,-46.31621308858479,43.666818420286766,-43.705526846479636,39.1444064718357,-46.31621308858479,17.753072786962317
공격형,all_loss,0,0.001,0.05,36.47935838153138,-46.31621308858479,43.666818420286766,-43.705526846479636,39.1444064718357,-46.31621308858479,17.753072786962317
공격형,any_loss,0,0.001,0.15,36.47935838153138,-46.31621308858479,43.666818420286766,-43.705526846479636,39.1444064718357,-46.31621308858479,17.753072786962317
안정성장형,any_loss,0,0.0005,0.1,34.485295872950836,-42.94974183194272,40.23700253010449,-37.858926450700544,36.70355877794997,-42.94974183194272,17.43978890176711
안정성장형,any_loss,0,0.0005,0.05,34.485295872950836,-42.94974183194272,40.23700253010449,-37.858926450700544,36.70355877794997,-42.94974183194272,17.43978890176711
안정성장형,all_loss,0,0.0005,0.1,34.485295872950836,-42.94974183194272,40.23700253010449,-37.858926450700544,36.70355877794997,-42.94974183194272,17.43978890176711
안정성장형,all_loss,0,0.0005,0.05,34.485295872950836,-42.94974183194272,40.23700253010449,-37.858926450700544,36.70355877794997,-42.94974183194272,17.43978890176711
안정성장형,any_loss,0,0.0005,0.15,34.485295872950836,-42.94974183194272,40.23700253010449,-37.858926450700544,36.70355877794997,-42.94974183194272,17.43978890176711
안정성장형,all_loss,0,0.0005,0.15,34.485295872950836,-42.94974183194272,40.23700253010449,-37.858926450700544,36.70355877794997,-42.94974183194272,17.43978890176711
안정성장형,all_loss,2,0.0005,0.05,35.07101653194131,-43.45618142504578,41.990738448384455,-39.3653724653363,37.645265622691056,-43.45618142504578,17.43945036242019
안정성장형,any_loss,2,0.0005,0.1,35.07101653194131,-43.45618142504578,41.990738448384455,-39.3653724653363,37.645265622691056,-43.45618142504578,17.43945036242019
안정성장형,any_loss,2,0.0005,0.05,35.07101653194131,-43.45618142504578,41.990738448384455,-39.3653724653363,37.645265622691056,-43.45618142504578,17.43945036242019
안정성장형,all_loss,2,0.0005,0.15,35.07101653194131,-43.45618142504578,41.990738448384455,-39.3653724653363,37.645265622691056,-43.45618142504578,17.43945036242019
안정성장형,all_loss,2,0.0005,0.1,35.07101653194131,-43.45618142504578,41.990738448384455,-39.3653724653363,37.645265622691056,-43.45618142504578,17.43945036242019
안정성장형,any_loss,2,0.0005,0.15,35.07101653194131,-43.45618142504578,41.990738448384455,-39.3653724653363,37.645265622691056,-43.45618142504578,17.43945036242019
안정성장형,all_loss,3,0.0005,0.1,35.145568652287636,-43.498280260872875,42.39661887426686,-39.847703617338034,37.79607342018061,-43.498280260872875,17.383302983289404
안정성장형,all_loss,3,0.0005,0.05,35.145568652287636,-43.498280260872875,42.39661887426686,-39.847703617338034,37.79607342018061,-43.498280260872875,17.383302983289404
안정성장형,any_loss,3,0.0005,0.15,35.145568652287636,-43.498280260872875,42.39661887426686,-39.847703617338034,37.79607342018061,-43.498280260872875,17.383302983289404
안정성장형,all_loss,3,0.0005,0.15,35.145568652287636,-43.498280260872875,42.39661887426686,-39.847703617338034,37.79607342018061,-43.498280260872875,17.383302983289404
안정성장형,any_loss,3,0.0005,0.1,35.145568652287636,-43.498280260872875,42.39661887426686,-39.847703617338034,37.79607342018061,-43.498280260872875,17.383302983289404
안정성장형,any_loss,3,0.0005,0.05,35.145568652287636,-43.498280260872875,42.39661887426686,-39.847703617338034,37.79607342018061,-43.498280260872875,17.383302983289404
